,0
154,8.099999999999994
155,7.0
156,-0.0
157,19.0
158,-0.0
159,-0.0
160,-0.0
161,-0.0
162,1.6999999999999886
163,-0.0
164,1.5
165,-0.0
166,-0.0
167,10.0
168,-0.0
169,12.099999999999994
170,-0.0
171,-0.0
172,18.0
173,12.0
174,-0.0
175,-0.0
176,-0.0
177,-0.0
178,10.200000000000003
179,5.0
180,4.5
181,28.799999999999997
182,3.0
183,-0.0
184,8.0
185,15.349999999999994
186,14.0
187,-0.0
188,-0.0
189,8.0
190,0.9000000000000057
191,1.4000000000000057
192,15.0
193,2.9000000000000057
194,17.0
195,2.1999999999999886
196,-0.0
197,6.5
198,8.0
199,11.0
200,5.5
201,-0.0
202,-0.0
203,-0.0
204,-0.0
205,9.0
206,4.800000000000011
207,-0.0
208,22.599999999999994
209,-0.0
210,-0.0
211,-0.0
212,-0.0
213,8.0
214,18.0
215,2.0
216,2.6999999999999886
217,11.400000000000006
218,-0.0
219,9.299999999999997
220,-0.0
221,-0.0
222,-0.0
223,-0.0
224,3.0
225,17.5
226,1.3000000000000114
227,2.0
228,17.5
229,5.5
230,-0.0
231,12.0
232,1.0
233,-0.0
234,12.049999999999997
235,-0.0
236,9.0
237,0.6999999999999886
238,9.800000000000011
239,9.0
240,-0.0
241,-0.0
242,-0.0
243,16.5
244,5.3999999999999915
245,10.0
246,28.200000000000003
247,-0.0
248,-0.0
249,-0.0
250,2.0
251,3.0
252,17.700000000000003
253,-0.0
254,20.5
255,2.3000000000000114
256,2.0
257,-0.0
258,1.5
259,-0.0
260,13.299999999999997
261,11.0
262,-0.0
263,-0.0
264,5.5
265,-0.0
266,17.700000000000003
267,-0.0
268,-0.0
269,-0.0
270,-0.0
271,5.0
272,7.5
273,-0.0
274,-0.0
275,2.6999999999999886
276,6.0
277,1.6999999999999886
278,5.0
279,17.900000000000006
280,-0.0
281,-0.0
282,4.0
283,8.0
284,2.0
285,22.5
286,-0.0
287,6.5
288,-0.0
289,5.0
290,-0.0
291,6.0
292,7.599999999999994
293,9.0
294,-0.0
295,-0.0
296,-0.0
297,0.5
298,5.0
299,-0.0
300,29.900000000000006
301,11.0
302,8.0
303,3.5
304,6.5
305,23.5
306,0.5999999999999943
307,-0.0
308,2.0
309,-0.0
310,7.0
311,15.0
312,-0.0
313,2.0
314,-0.0
315,-0.0
316,0.09999999999999432
317,1.0
318,15.0
319,5.0
320,-0.0
321,9.879999999999995
322,-0.0
323,5.0
324,2.9000000000000057
325,12.5
326,-0.0
327,-0.0
328,14.5
329,16.5
330,13.5
331,-0.0
332,6.5
333,1.0
334,22.5
335,-0.0
336,6.900000000000006
337,9.5
338,-0.0
339,-0.0
340,-0.0
341,18.5
342,7.0
343,-0.0
344,-0.0
345,2.0999999999999943
346,11.599999999999994
347,-0.0
348,9.0
349,1.9000000000000057
350,14.900000000000006
351,-0.0
352,-0.0
353,-0.0
354,22.5
355,-0.0
356,12.099999999999994
357,-0.0
358,2.6999999999999886
359,49.599999999999994
360,3.0
361,6.0
362,-0.0
363,3.0
364,-0.0
365,15.0
366,-0.0
367,7.5
368,13.0
369,1.0
370,39.5
